rq,evidence_item,metric,value,supporting_file,interpretation,status,is_posthoc,paper_safe_claim,paper_forbidden_claim,best_shot,best_mean_auc
RQ1,cross_verified_vs_licensed,roc_auc,0.9797619047619048,output\week6\metrics\cross_verified_pooled_eval.csv,Cross-verified illegal sites are highly separable from licensed controls.,support_illegal_vs_licensed,False,The model separates illegal websites from licensed controls in the cross-verified evidence layer.,Do not claim the model performs reliable illegal-family attribution.,,
RQ1,hard_negative_family_boundary,mean_hard_negative_auc,0.6218496472663139,output\week9\metrics\hard_negative_family_summary.csv,Hard illegal-vs-illegal family discrimination is weak and family-dependent.,family_boundary_failed,True,"Illegal-vs-licensed separability is strong, but family-level discrimination among illegal sites remains limited.",Do not claim successful illegal-family attribution or robust unseen-family recognition.,,
RQ1,head_ablation_best,roc_auc_mean,0.9735092576177454,output\week6_head_ablation\metrics\head_ablation_summary.csv,Best head is fixed_mean; head choice affects stability.,mixed_model_integration,True,Head ablation suggests stability depends on downstream head design.,Do not claim HeCo universally outperforms HeteroGNN or that one head solves all settings.,,
RQ2,T3_ccTLD_sensitivity,full_minus_no_cctld_auc,0.0815357374918778,output\week8_patch\metrics\E5_corrected_acceptance_audit.csv,Removing ccTLD/local-TLD information materially changes T3 France performance.,regional_shortcut_boundary,True,T3 France transfer is substantially assisted by ccTLD/local lexical boundary information.,Do not present T3 France as pure structural transfer.,,
RQ2,T3_lexical_vs_graph,lex_only_minus_graph_only_auc,0.2395692007797271,output\week8_patch\metrics\E5_corrected_acceptance_audit.csv,Lexical-only T3 performance exceeds graph-only performance.,regional_lexical_boundary,True,Regional heterogeneity includes lexical/ccTLD shortcuts that must be separated from structural evidence.,Do not claim graph-only regional generalization from high full-feature T3 AUC.,,
RQ2,T3_C1_full,primary_metric_value_mean,0.9861234567901236,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C1_full diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.,,
RQ2,T3_C2_no_cctld,primary_metric_value_mean,0.9045877192982456,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C2_no_cctld diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.,,
RQ2,T3_C3_no_website_lexical,primary_metric_value_mean,0.7134294996751137,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C3_no_website_lexical diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.,,
RQ2,T3_C4_graph_only,primary_metric_value_mean,0.7134294996751137,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C4_graph_only diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.,,
RQ2,T3_C5_lex_only,primary_metric_value_mean,0.9529987004548408,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C5_lex_only diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.,,
RQ2,T3_C6_no_edges,primary_metric_value_mean,0.9529987004548408,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C6_no_edges diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.,,
RQ2,T3_C7_no_cert_edge,primary_metric_value_mean,0.9154392462638076,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C7_no_cert_edge diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.,,
RQ2,T3_C8_no_registrar_edge,primary_metric_value_mean,0.9210526315789472,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C8_no_registrar_edge diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.,,
RQ2,T3_C9_infra_edges_only,primary_metric_value_mean,0.9861234567901236,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C9_infra_edges_only diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.,,
RQ3,T1_Nordic,illegal_recall_at_youden,0.2064516129032258,output\week7\metrics\week7_transfer_summary.csv,"Denmark transfer should be reported as low-recall hard transfer under one-class target labels, not as evidence for or against broad structural generalization.",hard transfer,True,Transfer is target-dependent and must be interpreted with target-specific metric boundaries.,Do not claim DANN/StruRW solve cross-domain transfer or force ROC-AUC onto one-class targets.,,
RQ3,T2_PH,roc_auc,0.6416666666666666,output\week7\metrics\week7_transfer_summary.csv,Philippines is a hard transfer target that becomes recoverable with small target supervision; Week7 alone does not establish robust unsupervised transfer.,few-shot recoverable hard transfer,True,Transfer is target-dependent and must be interpreted with target-specific metric boundaries.,Do not claim DANN/StruRW solve cross-domain transfer or force ROC-AUC onto one-class targets.,,
RQ3,T2_ON,mean_pred_illegal,0.3027596900275405,output\week7\metrics\week7_transfer_summary.csv,"Ontario should be used only as licensed-consistency/anomaly-style boundary evidence, not as a standard transfer success.",unreliable transfer boundary,True,Transfer is target-dependent and must be interpreted with target-specific metric boundaries.,Do not claim DANN/StruRW solve cross-domain transfer or force ROC-AUC onto one-class targets.,,
