rq,evidence_item,metric,value,supporting_file,interpretation,status,is_posthoc,paper_safe_claim,paper_forbidden_claim
RQ2,T3_ccTLD_sensitivity,full_minus_no_cctld_auc,0.0815357374918778,output\week8_patch\metrics\E5_corrected_acceptance_audit.csv,Removing ccTLD/local-TLD information materially changes T3 France performance.,regional_shortcut_boundary,True,T3 France transfer is substantially assisted by ccTLD/local lexical boundary information.,Do not present T3 France as pure structural transfer.
RQ2,T3_lexical_vs_graph,lex_only_minus_graph_only_auc,0.2395692007797271,output\week8_patch\metrics\E5_corrected_acceptance_audit.csv,Lexical-only T3 performance exceeds graph-only performance.,regional_lexical_boundary,True,Regional heterogeneity includes lexical/ccTLD shortcuts that must be separated from structural evidence.,Do not claim graph-only regional generalization from high full-feature T3 AUC.
RQ2,T3_C1_full,primary_metric_value_mean,0.9861234567901236,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C1_full diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.
RQ2,T3_C2_no_cctld,primary_metric_value_mean,0.9045877192982456,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C2_no_cctld diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.
RQ2,T3_C3_no_website_lexical,primary_metric_value_mean,0.7134294996751137,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C3_no_website_lexical diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.
RQ2,T3_C4_graph_only,primary_metric_value_mean,0.7134294996751137,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C4_graph_only diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.
RQ2,T3_C5_lex_only,primary_metric_value_mean,0.9529987004548408,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C5_lex_only diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.
RQ2,T3_C6_no_edges,primary_metric_value_mean,0.9529987004548408,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C6_no_edges diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.
RQ2,T3_C7_no_cert_edge,primary_metric_value_mean,0.9154392462638076,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C7_no_cert_edge diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.
RQ2,T3_C8_no_registrar_edge,primary_metric_value_mean,0.9210526315789472,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C8_no_registrar_edge diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.
RQ2,T3_C9_infra_edges_only,primary_metric_value_mean,0.9861234567901236,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,T3 feature bucket C9_infra_edges_only diagnostic performance.,diagnostic_context,True,Feature-bucket diagnostics expose which regional signals support or weaken transfer.,Do not turn a single feature bucket into a universal mechanism claim.
