patch,hypothesis,metric,observed_value,threshold,status,is_prerun_frozen,is_posthoc,paper_safe_claim,paper_forbidden_claim
P1_family_metric,H_P1a,mean_hard_negative_auc,0.12589153439153436,>=0.75,fail,True,False,Family metric learning is interpreted as a targeted family-boundary calibration patch.,Do not claim illegal-family attribution success from P1 alone.
P1_family_metric,H_P1b,tsars_hard_negative_auc,0.07407407407407407,>=0.70,fail,True,False,Family metric learning is interpreted as a targeted family-boundary calibration patch.,Do not claim illegal-family attribution success from P1 alone.
P1_family_metric,H_P1c,mean_delta_vs_w9,-0.49595811287477953,>=+0.10 vs W9 baseline,fail,True,False,Family metric learning is interpreted as a targeted family-boundary calibration patch.,Do not claim illegal-family attribution success from P1 alone.
P1_family_metric,H_P1d,A2_minus_A4_gap,-0.22858024691358025,>=+0.05 A2-A4,fail,True,False,Family metric learning is interpreted as a targeted family-boundary calibration patch.,Do not claim illegal-family attribution success from P1 alone.
P2_invariance_methods,H_P2a,max_improvement_vs_source_only,0.27083333333333337,>=+0.05,pass,True,False,IRM/EERM results are method-boundary evidence in small-sample heterogeneous transfer.,Do not claim IRM/EERM solves transfer.
P2_invariance_methods,H_P2b,method_boundary_documented,informative_by_design,any result is informative,pass,True,False,IRM/EERM results are method-boundary evidence in small-sample heterogeneous transfer.,Do not claim IRM/EERM solves transfer.
P2_invariance_methods,H_P2c,max_eerm_k_range,0.0395217566916926,<=0.10,pass,True,False,IRM/EERM results are method-boundary evidence in small-sample heterogeneous transfer.,Do not claim IRM/EERM solves transfer.
P3_full_fewshot,H_P3a,T1_5shot_illegal_recall,0.4580645161290323,>=0.50,fail,True,False,"Full few-shot matrix is interpreted target-by-target, including one-class boundary targets.",Do not force ROC-AUC for one-class targets or claim universal few-shot improvement.
P3_full_fewshot,H_P3b,T2_ON_5shot_mean_pred_illegal,0.2144703443424077,<0.30,pass,True,False,"Full few-shot matrix is interpreted target-by-target, including one-class boundary targets.",Do not force ROC-AUC for one-class targets or claim universal few-shot improvement.
P3_full_fewshot,H_P3c,recoverable_transfer_count,2,>=3/4 recoverable,fail,True,False,"Full few-shot matrix is interpreted target-by-target, including one-class boundary targets.",Do not force ROC-AUC for one-class targets or claim universal few-shot improvement.
P4_significance,H_P4a,w7_significant_pair_count,9,>=1/24 Holm-significant,pass,True,False,Significance tests add uncertainty estimates and do not override effect-size interpretation.,Do not use p-values to overclaim broad transfer success.
P4_significance,H_P4b,w9_significant_pair_count,5,>=4/8 Holm-significant,pass,True,False,Significance tests add uncertainty estimates and do not override effect-size interpretation.,Do not use p-values to overclaim broad transfer success.
P5_writing,H_P5a,section5_chars,3861,>=3500 chars,pass,True,False,The writing patch turns negative and diagnostic results into an explicit evidence-boundary framework.,Do not rewrite the discussion as model-wide success.
P5_writing,H_P5b,rq_plus_section5_chars,8002,>=8000 chars,pass,True,False,The writing patch turns negative and diagnostic results into an explicit evidence-boundary framework.,Do not rewrite the discussion as model-wide success.
P5_writing,H_P5c,section5_cites_evidence_boundary_table,1,explicit citation,pass,True,False,The writing patch turns negative and diagnostic results into an explicit evidence-boundary framework.,Do not rewrite the discussion as model-wide success.
