transfer_id,criterion,status,observed_value,best_method,threshold,interpretation,evidence_layer,is_posthoc,paper_safe_claim,paper_forbidden_claim,experiment_id,original_claim,diagnostic_result,final_status,overclaim_to_avoid,is_posthoc_diagnostic,hypothesis,observed_metric,patch,observed,target,best_shot,best_auc,delta,source_file,experiment
T1_Nordic,max illegal_recall_at_youden >= 0.55,fail_but_interpretable,0.2709677419354838,dann,0.55,"Below acceptance, but supports RQ2 differentiated illegal-family transfer difficulty.",week7_transfer,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,,,,,,,,,,
T2_PH,all target ROC-AUC means <= 0.80 for negative/limited cross-continent finding,pass,0.7458333333333333,dann_strurw,0.8,Cross-continent transfer remains limited; DANN+StruRW improves but stays below 0.80.,week7_transfer,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,,,,,,,,,,
T2_ON,StruRW-family mean_pred_illegal < 0.30 on one-class licensed target,pass,0.0002667256255397,strurw,0.3,"Use as licensed-consistency/anomaly-style counterpoint, not balanced-accuracy victory.",week7_transfer,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,,,,,,,,,,
T3_DiagnoseFrance,best adaptation ROC-AUC >= source_only + 0.02,fail,0.00435477582846,strurw,0.02,StruRW is slightly above source-only but far below the +0.02 transfer-improvement threshold.,week7_transfer,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,,,,,,,,,,
,,mixed,,,,,week8_diagnostic,True,Edge channels are diagnostically useful but not uniformly beneficial across targets.,Do not claim edge structure generally explains transfer success.,E1,Specific graph edge channels would reveal stable structural transfer mechanisms.,"T3 shows a uses_cert edge effect, but T2_PH and T2_ON effects are directionally mixed and target-dependent.",mixed,Do not claim edge structure generally explains transfer success.,True,,,,,,,,,,
,,failed,,,,,week8_diagnostic,True,LogME is not reliable as a transferability proxy in this setting.,Do not use LogME as a validated prescreen.,E2,LogME would predict transferability.,Original LogME Spearman rho=0.2754; expanded W8.5 rho=0.0733 and does not beat distance baselines.,failed,Do not use LogME as a validated prescreen.,True,,,,,,,,,,
,,limited,,,,,week8_diagnostic,True,Illegal-vs-licensed separability is strong; family-level generalization among illegal sites is limited.,Do not claim strong unseen-family generalization from licensed-negative LOFO.,E3,Family LOFO validates unseen illegal-family generalization.,"Licensed-negative LOFO is high, but hard illegal-negative mean AUC=0.6218 and tsars=0.3864.",limited,Do not claim strong unseen-family generalization from licensed-negative LOFO.,True,,,,,,,,,,
,,limited,,,,,week8_diagnostic,True,"Control-group separability is supported, but embedding-distance explanation is insufficient.",Do not claim embedding distance explains the transfer mechanism.,E4,Embedding distances would explain transfer/control-group behavior.,"Illegal-vs-control classification is high, but embedding geometry hypotheses H_E4b/H_E4c fail.",limited,Do not claim embedding distance explains the transfer mechanism.,True,,,,,,,,,,
,,failed,,,,,week8_diagnostic,True,T3 France transfer is substantially lexical/ccTLD-assisted.,Do not present T3 France as pure structural transfer evidence.,E5,T3 transfer would be primarily graph-structural rather than lexical.,"Corrected E5: graph-only AUC=0.7134, lex-only AUC=0.9530, no-ccTLD drop=0.0815.",failed,Do not present T3 France as pure structural transfer evidence.,True,,,,,,,,,,
,,diagnostic_support,0.0815357374918778,,,ccTLD/local-TLD removal remains a material post-hoc diagnostic effect,week8_patch_e5,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,W8P_E5_ccTLD_sensitivity,T3_full_minus_no_cctld_auc,,,,,,,,
,,diagnostic_support,0.7134294996751137,,,zeroing Website lexical features substantially weakens T3,week8_patch_e5,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,W8P_E5_website_lexical_removed,T3_C3_no_website_lexical_auc,,,,,,,,
,,diagnostic_support,0.2395692007797271,,,Website lexical-only outperforms graph-only on T3,week8_patch_e5,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,W8P_E5_lex_only_vs_graph_only,T3_lex_only_minus_graph_only_auc,,,,,,,,
,,consistent,0.0,,,C6 no_edges checks that lex-only semantics match empty-edge behavior,week8_patch_e5,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,W8P_E5_no_edges_equivalent_to_lex_only,T3_no_edges_minus_lex_only_auc,,,,,,,,
,,diagnostic_support,0.0706842105263158,,,certificate/registrar edges have post-hoc diagnostic contribution,week8_patch_e5,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,W8P_E5_edge_sensitivity,max_T3_drop_no_cert_or_no_registrar,,,,,,,,
,,diagnostic_support,0.9861234567901236,,,infra-only removes referenced_by and matches full when ExtRef is not needed,week8_patch_e5,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,W8P_E5_infra_only,T3_infra_only_auc,,,,,,,,
,,pass,,,min family AUC >= 0.85,illegal-vs-licensed generalization remains strong under balanced test negatives,week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,E3_balanced_licensed_negative,,P1,1.0,,,,,,
,,fail,,,mean hard-negative family AUC >= 0.80,hard-negative audit measures family-level discrimination among illegal sites,week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,E3_hard_illegal_family_detection,,P1,0.6218496472663139,,,,,,
,,fail,,,tsars hard-negative AUC >= 0.80,critical tsars audit under hard illegal negatives,week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,E3_hard_tsars_family_detection,,P1,0.3864197530864197,,,,,,
,,fail,,,Spearman rho >= 0.60,"expanded one-class-aware quasi metric, no GNN retraining",week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,E2_expanded_LogME_predicts_quasi_metric,,P2,0.073313165276678,,,,,,
,,fail,,,|rho_LogME| > |rho_H-div| and |rho_W|,"|rho_H-div|=0.1742, |rho_W|=0.1057",week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,E2_expanded_LogME_beats_distance_baselines,,P2,0.073313165276678,,,,,,
,,pass,,,>=4/5 seeds,post-hoc direction-only relaxation; not a prerun Week 8 pass,week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,H_E4b_prime_direction_only,,P3_posthoc,4.0,,,,,,
,,fail,,,>=4/5 seeds,post-hoc direction-only relaxation; not a prerun Week 8 pass,week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,H_E4c_prime_direction_only,,P3_posthoc,0.0,,,,,,
,,pass,,,T3 full-minus-no-cctld >= 0.05,post-hoc direction reversal: ccTLD is a key mechanism,week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,H_E5a_prime_cctld_key,,P4_posthoc,0.081535737491878,,,,,,
,,pass,,,T3 lex-only >= 0.85,post-hoc direction reversal: lexical features work independently on T3,week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,H_E5b_prime_lex_only_working,,P4_posthoc,0.9529987004548408,,,,,,
,,pass,,,3/3 specified directional checks,post-hoc transfer-specific mechanism split,week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,H_E5c_prime_transfer_specific_dominance,,P4_posthoc,3.0,,,,,,
,,pass,,,at least one edge has effect<0 and p<0.05,post-hoc direction reversal for PH channel-specific negative transfer,week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,H_E1b_prime_T2PH_negative_transfer_edge,,P4_posthoc,-0.0833333333333333,,,,,,
,,pass,,,at least one edge p<0.05,post-hoc significant influence criterion for ON one-class target,week85_patch,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,H_E1c_prime_T2ON_any_significant_edge,,P4_posthoc,2.0,,,,,,
,,posthoc_support,,,,,week9_fewshot,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,,,,,T2_PH,10.0,0.9541666666666666,0.3125,output/week9/metrics/week9_fewshot_rollup.csv,
,,no_clear_gain,,,,,week9_fewshot,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,,,,,T3,10.0,0.9957654320987654,0.0096419753086419,output/week9/metrics/week9_fewshot_rollup.csv,
,,fail,0.621849647266314,,>=0.80,,week9_hard_negative,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,hard_negative_family_mean_auc,mean hard-negative family AUC,,,,,,,,Week9_hard_negative_family
,,fail,0.3864197530864197,,>=0.80,,week9_hard_negative,True,Diagnostic evidence should be interpreted within its stated boundary.,Do not overgeneralize diagnostic or post-hoc evidence.,,,,,,,hard_negative_tsars_auc,tsars hard-negative AUC,,,,,,,,Week9_hard_negative_family
